scheduled_date,day_of_week,scheduled_time,post_id,topic,category,folder,status
2026-08-03,Monday,08:00,ALP-175,You've Just Won a Big Contract — Now What?,Scenario-Based,03_generated_posts\ALP-175_youve-just-won-a-big-contract,pending
2026-08-03,Monday,11:40,ALP-030,What Is Working Capital?,Educational Fundamentals,03_generated_posts\ALP-030_what-is-working-capital,pending
2026-08-03,Monday,15:20,ALP-095,Finance for Hospitality and Cafe Businesses,Industry-Specific,03_generated_posts\ALP-095_finance-for-hospitality-and-cafe-businesses,pending
2026-08-03,Monday,19:00,ALP-115,“My Bank Said No” — What Are Your Other Options?,Problems and Objections,03_generated_posts\ALP-115_bank-said-no-other-options,pending
2026-08-04,Tuesday,08:00,ALP-015,Secured vs Unsecured Business Loans,Product Comparison,03_generated_posts\ALP-015_secured-vs-unsecured-business-loans,pending
2026-08-04,Tuesday,11:40,ALP-050,What Documents Do You Need to Apply?,Preparing for Finance,03_generated_posts\ALP-050_documents-needed-for-business-finance,pending
2026-08-04,Tuesday,15:20,ALP-065,Cash Flow Problems Don't Mean a Failing Business,Cash-Flow Education,03_generated_posts\ALP-065_cash-flow-problems-dont-mean-failing-business,pending
2026-08-04,Tuesday,19:00,ALP-080,Using Finance to Fund Business Growth,Growth and Strategy,03_generated_posts\ALP-080_using-finance-to-fund-business-growth,pending
2026-08-05,Wednesday,08:00,ALP-160,5 Documents to Have Ready Before You Apply,Checklists and Lists,03_generated_posts\ALP-160_5-documents-to-have-ready,pending
2026-08-05,Wednesday,11:40,ALP-145,What Does the Application Process Actually Look Like?,Broker and Process Education,03_generated_posts\ALP-145_what-does-the-application-process-look-like,pending
2026-08-05,Wednesday,15:20,ALP-135,Myth: You Need Perfect Credit to Get Business Finance,Myth-Busting,03_generated_posts\ALP-135_myth-need-perfect-credit,pending
2026-08-05,Wednesday,19:00,ALP-001,Business Line of Credit,Core Product,03_generated_posts\ALP-001_business-line-of-credit,pending
2026-08-06,Thursday,08:00,ALP-002,Equipment Finance,Specialist Finance,03_generated_posts\ALP-002_equipment-finance,pending
2026-08-06,Thursday,11:40,ALP-003,Invoice Finance,Cash Flow and Working Capital,03_generated_posts\ALP-003_invoice-finance,pending
2026-08-06,Thursday,15:20,ALP-176,Your Best Customer Just Asked for 60-Day Terms,Scenario-Based,03_generated_posts\ALP-176_customer-asked-for-60-day-terms,pending
2026-08-06,Thursday,19:00,ALP-031,What Is Business Cash Flow?,Educational Fundamentals,03_generated_posts\ALP-031_what-is-business-cash-flow,pending
2026-08-07,Friday,08:00,ALP-096,Finance for Retail and Ecommerce Businesses,Industry-Specific,03_generated_posts\ALP-096_finance-for-retail-and-ecommerce-businesses,pending
2026-08-07,Friday,11:40,ALP-116,Worried About Taking on Debt? Here's How to Think About It,Problems and Objections,03_generated_posts\ALP-116_worried-about-taking-on-debt,pending
2026-08-07,Friday,15:20,ALP-016,Low Doc vs Full Doc Business Loans,Product Comparison,03_generated_posts\ALP-016_low-doc-vs-full-doc-business-loans,pending
2026-08-07,Friday,19:00,ALP-051,How to Improve Your Chances of Approval,Preparing for Finance,03_generated_posts\ALP-051_improve-loan-approval-chances,pending
2026-08-10,Monday,08:00,ALP-066,How Seasonal Businesses Can Manage Cash Flow Gaps,Cash-Flow Education,03_generated_posts\ALP-066_seasonal-businesses-cash-flow-gaps,pending
2026-08-10,Monday,11:40,ALP-081,When Is the Right Time to Expand?,Growth and Strategy,03_generated_posts\ALP-081_when-is-the-right-time-to-expand,pending
2026-08-10,Monday,15:20,ALP-161,7 Signs Your Business Might Need a Cash Flow Facility,Checklists and Lists,03_generated_posts\ALP-161_7-signs-you-might-need-cash-flow-facility,pending
2026-08-10,Monday,19:00,ALP-146,How to Choose the Right Broker for Your Business,Broker and Process Education,03_generated_posts\ALP-146_how-to-choose-the-right-broker,pending
2026-08-11,Tuesday,08:00,ALP-136,Myth: Business Loans Are Only for Big Companies,Myth-Busting,03_generated_posts\ALP-136_myth-loans-only-for-big-companies,pending
